Case,Algorithm,Bins Used,Time / Item (s),nitems,ndays,Bin Utilization,Avg Items per Bin,Percent Items Departed,Bins Used per Item,Efficiency,Time (s)
Correlated Arrival and Departure,first_fit_decreasing,7,0.0,10,10000,0.8923915989493107,1.4285714285714286,1.0,0.7,0.8923915989493107,0.0
Correlated Arrival and Departure,best_fit_decreasing,7,0.0,10,10000,0.8923915989493107,1.4285714285714286,1.0,0.7,0.8923915989493107,0.0
Correlated Arrival and Departure,next_fit_decreasing,8,0.0,10,10000,0.8851670371882712,1.25,1.0,0.8,0.8851670371882712,0.0
Correlated Arrival and Departure,worst_fit_decreasing,7,0.0,10,10000,0.8779424754272317,1.4285714285714286,1.0,0.7,0.8779424754272317,0.0
Correlated Arrival and Departure,time_aware_harmonic_algorithm,7,0.0,10,10000,0.8923915989493107,1.4285714285714286,1.0,0.7,0.8923915989493107,0.0
Correlated Arrival and Departure,rolling_horizon_dp,8,0.0,10,10000,0.8739034626866744,1.25,1.0,0.8,0.8739034626866744,0.0
Time-aware items,first_fit,6,0.0,10,50000,0.7041424648345136,1.6666666666666667,1.0,0.6,0.7041424648345136,0.0
Time-aware items,next_fit,6,0.0,10,50000,0.7073571052709731,1.6666666666666667,1.0,0.6,0.7073571052709731,0.0
Time-aware items,best_fit,6,0.0,10,50000,0.6935463029577895,1.6666666666666667,1.0,0.6,0.6935463029577895,0.0
Time-aware items,worst_fit,6,0.0,10,50000,0.7073571052709731,1.6666666666666667,1.0,0.6,0.7073571052709731,0.0
Time-aware items,first_fit_decreasing,5,0.0,10,50000,0.9802861537584764,2.0,1.0,0.5,0.9802861537584764,0.0
Time-aware items,best_fit_decreasing,5,0.0,10,50000,0.9802861537584764,2.0,1.0,0.5,0.9802861537584764,0.0
Time-aware items,next_fit_decreasing,6,0.0,10,50000,0.7041424648345136,1.6666666666666667,1.0,0.6,0.7041424648345136,0.0
Time-aware items,worst_fit_decreasing,5,0.0,10,50000,0.9292836067684624,2.0,1.0,0.5,0.9292836067684624,0.0
Time-aware items,time_aware_harmonic_algorithm,5,0.0,10,50000,0.9121701871282227,2.0,1.0,0.5,0.9121701871282227,0.0
Time-aware items,rolling_horizon_dp,6,0.0,10,50000,0.7487114228831593,1.6666666666666667,1.0,0.6,0.7487114228831593,0.0
Correlated Arrival and Departure,first_fit,9,0.0,10,50000,0.7845488538737659,1.1111111111111112,1.0,0.9,0.7845488538737659,0.0
Correlated Arrival and Departure,next_fit,10,0.0,10,50000,0.6799118876802854,1.0,1.0,1.0,0.6799118876802854,0.0
Correlated Arrival and Departure,best_fit,9,0.0,10,50000,0.86539492290278,1.1111111111111112,1.0,0.9,0.86539492290278,0.0
Correlated Arrival and Departure,worst_fit,9,0.0,10,50000,0.6937449913112116,1.1111111111111112,1.0,0.9,0.6937449913112116,0.0
Correlated Arrival and Departure,first_fit_decreasing,9,0.0,10,50000,0.86539492290278,1.1111111111111112,1.0,0.9,0.86539492290278,0.0
Correlated Arrival and Departure,best_fit_decreasing,9,0.0,10,50000,0.86539492290278,1.1111111111111112,1.0,0.9,0.86539492290278,0.0
Correlated Arrival and Departure,next_fit_decreasing,9,0.0,10,50000,0.6937449913112116,1.1111111111111112,1.0,0.9,0.6937449913112116,0.0
Correlated Arrival and Departure,worst_fit_decreasing,9,0.0,10,50000,0.6937449913112116,1.1111111111111112,1.0,0.9,0.6937449913112116,0.0
Correlated Arrival and Departure,time_aware_harmonic_algorithm,9,0.0,10,50000,0.86539492290278,1.1111111111111112,1.0,0.9,0.86539492290278,0.0
Correlated Arrival and Departure,rolling_horizon_dp,10,0.0,10,50000,0.6799118876802854,1.0,1.0,1.0,0.6799118876802854,0.0
Small items,first_fit,32,0.0,100,-1,0.9701581080127932,3.125,1.0,0.32,0.9701581080127932,0.0
Small items,next_fit,38,0.0,100,-1,0.8152023565810571,2.6315789473684212,1.0,0.38,0.8152023565810571,0.0
